title,link,publisher,subject,license,author1,author2,author3,author4,author5,latest_version,Resource Type
Regulation of Financial Institutions,https://opencasebook.org/casebooks/20450-regulation-of-financial-institutions-fall-2015/,H2O,Finance,CC BY-NC-SA-3.0,Howell E. Jackson,,,,,Fall 2015,Casebook
Sales and Leases: A Problem-based Approach,https://www.cali.org/books/sales-and-leases-problem-based-approach,CALI,UCC,CC BY-NC-SA 3.0,Scott J. Burnham,Kristen Juras,,,,6.16,Casebook
Sexual Orientation and Gender Identity Employment Discrimination,https://www.cali.org/books/sexual-orientation-and-gender-identity-employment-discrimination,CALI,Employment Discrimination,CC BY-NC-SA 3.0,Matthew William Green,,,,,11.17,Casebook
Sources of American Law: An Introduction to Legal Research,https://www.cali.org/books/sources-american-law-introduction-legal-research,CALI,Legal Research,CC BY-NC-SA 3.0,Beau B. Steenken,Tina M. Brooks,,,,4th ed. (8.19),Casebook
The Ethics and Governance of Artificial Intelligence,https://opencasebook.org/casebooks/74426-the-ethics-and-governance-of-artificial-intelligence,H2O,Technology Policy,CC BY-NC-SA-3.0,Jonathan Zittrain,Joichi Ito,,,,,Casebook
The Story of Contract Law: Formation,https://www.cali.org/books/story-contract-law-formation,CALI,Contract,CC BY-NC-SA 3.0,Val Ricks,,,,,3d ed. (7.19),Casebook
Topics in Financial Regulation: Consumer and Investor Protection,https://opencasebook.org/casebooks/18331-topics-in-financial-regulation-consumer-and-investor-protection/,H2O,Finance,CC BY-NC-SA-3.0,Howell E. Jackson,,,,,Spring 2015,Casebook
Torts,https://opencasebook.org/casebooks/51542-zittrain-torts-playlist-spring-2018/,H2O,Torts,CC BY-NC-SA-3.0,Jonathan Zittrain,,,,,Spring 2018,Casebook
Torts,https://opencasebook.org/casebooks/19160-karlan-torts-materials-fall-2015/,H2O,Torts,CC BY-NC-SA-3.0,Pamela Karlan,,,,,Fall 2015,Casebook
"Torts and Regulation: Cases, Principles, and Institutions",https://www.cali.org/books/torts-and-regulation-cases-principles-and-institutions,CALI,Torts,CC BY-NC-SA 3.0,John Fabian Witt,,,,,8.19,Casebook
Torts: Cases and Contexts Vol. 1,https://www.cali.org/books/torts-cases-and-contexts-volume-1,CALI,Torts,CC BY-NC-SA 3.0,Eric E. Johnson,,,,,,Casebook
"Torts: Cases, Principles, and Institutions",https://www.cali.org/books/torts-cases-principles-and-institutions,CALI,Torts,CC BY-NC-SA 3.0,John Fabian Witt,Karen Tani,,,,4th ed. (7.19),Casebook
Trademark Law,http://madisonian.net/home/?page_id=4163,self-published,Trademark,CC0 1.0 Universal,Michael J. Madson,,,,,Fall 2019,Casebook & Syllabus
Trademark Law: An Open-Source Casebook,http://tmcasebook.org/,self-published,Trademark,CC BY-NC-SA 4.0,Barton Beebe,,,,,v6.0 (7.5.19),Casebook
